n,n,winner
1, 2^(0)+0, 1
2, 2^(1)+0, 1
3, 2^(1)+1, 3
4, 2^(2)+0, 1
5, 2^(2)+1, 3
6, 2^(2)+2, 5
7, 2^(2)+3, 7
8, 2^(3)+0, 1
9, 2^(3)+1, 3
10, 2^(3)+2, 5
11, 2^(3)+3, 7
12, 2^(3)+4, 9
13, 2^(3)+5, 11
14, 2^(3)+6, 13
15, 2^(3)+7, 15
16, 2^(4)+0, 1
17, 2^(4)+1, 3
18, 2^(4)+2, 5
19, 2^(4)+3, 7
20, 2^(4)+4, 9
21, 2^(4)+5, 11
22, 2^(4)+6, 13
23, 2^(4)+7, 15
24, 2^(4)+8, 17
25, 2^(4)+9, 19
26, 2^(4)+10, 21
27, 2^(4)+11, 23
28, 2^(4)+12, 25
29, 2^(4)+13, 27
30, 2^(4)+14, 29
31, 2^(4)+15, 31
32, 2^(5)+0, 1
33, 2^(5)+1, 3
34, 2^(5)+2, 5
35, 2^(5)+3, 7
36, 2^(5)+4, 9
37, 2^(5)+5, 11
38, 2^(5)+6, 13
39, 2^(5)+7, 15
40, 2^(5)+8, 17
41, 2^(5)+9, 19
42, 2^(5)+10, 21
43, 2^(5)+11, 23
44, 2^(5)+12, 25
45, 2^(5)+13, 27
46, 2^(5)+14, 29
47, 2^(5)+15, 31
48, 2^(5)+16, 33
49, 2^(5)+17, 35
50, 2^(5)+18, 37
51, 2^(5)+19, 39
52, 2^(5)+20, 41
53, 2^(5)+21, 43
54, 2^(5)+22, 45
55, 2^(5)+23, 47
56, 2^(5)+24, 49
57, 2^(5)+25, 51
58, 2^(5)+26, 53
59, 2^(5)+27, 55
60, 2^(5)+28, 57
61, 2^(5)+29, 59
62, 2^(5)+30, 61
63, 2^(5)+31, 63
64, 2^(6)+0, 1
65, 2^(6)+1, 3
66, 2^(6)+2, 5
67, 2^(6)+3, 7
68, 2^(6)+4, 9
69, 2^(6)+5, 11
70, 2^(6)+6, 13
71, 2^(6)+7, 15
72, 2^(6)+8, 17
73, 2^(6)+9, 19
74, 2^(6)+10, 21
75, 2^(6)+11, 23
76, 2^(6)+12, 25
77, 2^(6)+13, 27
78, 2^(6)+14, 29
79, 2^(6)+15, 31
80, 2^(6)+16, 33
81, 2^(6)+17, 35
82, 2^(6)+18, 37
83, 2^(6)+19, 39
84, 2^(6)+20, 41
85, 2^(6)+21, 43
86, 2^(6)+22, 45
87, 2^(6)+23, 47
88, 2^(6)+24, 49
89, 2^(6)+25, 51
90, 2^(6)+26, 53
91, 2^(6)+27, 55
92, 2^(6)+28, 57
93, 2^(6)+29, 59
94, 2^(6)+30, 61
95, 2^(6)+31, 63
96, 2^(6)+32, 65
97, 2^(6)+33, 67
98, 2^(6)+34, 69
99, 2^(6)+35, 71
100, 2^(6)+36, 73
